id,timestamp,scale_value
0,2022-03-16 16:15:09.568,0
1,2022-03-16 16:15:09.584,0
2,2022-03-16 16:15:09.584,0
3,2022-03-16 16:15:09.584,0
4,2022-03-16 16:15:09.584,0
5,2022-03-16 16:15:09.584,0
6,2022-03-16 16:15:09.584,0
7,2022-03-16 16:15:09.584,0
8,2022-03-16 16:15:09.584,0
9,2022-03-16 16:15:09.584,0
10,2022-03-16 16:15:09.584,0
11,2022-03-16 16:15:09.584,0
12,2022-03-16 16:15:09.584,0
13,2022-03-16 16:15:09.599,0
14,2022-03-16 16:15:09.599,0
15,2022-03-16 16:15:09.599,0
16,2022-03-16 16:15:09.599,0
17,2022-03-16 16:15:09.599,0
18,2022-03-16 16:15:09.599,0
19,2022-03-16 16:15:09.599,0
20,2022-03-16 16:15:09.599,0
21,2022-03-16 16:15:09.599,0
22,2022-03-16 16:15:09.599,0
23,2022-03-16 16:15:09.599,0
24,2022-03-16 16:15:09.599,0
25,2022-03-16 16:15:09.599,0
26,2022-03-16 16:15:09.599,0
27,2022-03-16 16:15:09.599,0
28,2022-03-16 16:15:09.599,0
29,2022-03-16 16:15:09.599,0
30,2022-03-16 16:15:09.615,0
31,2022-03-16 16:15:09.615,0
32,2022-03-16 16:15:09.615,0
33,2022-03-16 16:15:09.615,0
34,2022-03-16 16:15:09.615,0
35,2022-03-16 16:15:09.615,0
36,2022-03-16 16:15:09.615,0
37,2022-03-16 16:15:09.615,0
38,2022-03-16 16:15:09.615,0
39,2022-03-16 16:15:09.615,0
40,2022-03-16 16:15:09.615,0
41,2022-03-16 16:15:09.615,0
42,2022-03-16 16:15:09.615,0
43,2022-03-16 16:15:09.615,0
44,2022-03-16 16:15:09.631,0
45,2022-03-16 16:15:09.631,0
46,2022-03-16 16:15:09.631,0
47,2022-03-16 16:15:09.631,0
48,2022-03-16 16:15:09.631,0
49,2022-03-16 16:15:09.631,0
50,2022-03-16 16:15:09.631,0
51,2022-03-16 16:15:09.631,0
52,2022-03-16 16:15:09.631,0
53,2022-03-16 16:15:09.631,0
54,2022-03-16 16:15:09.631,0
55,2022-03-16 16:15:09.631,0
56,2022-03-16 16:15:09.631,0
57,2022-03-16 16:15:09.631,0
58,2022-03-16 16:15:09.631,0
59,2022-03-16 16:15:09.631,0
60,2022-03-16 16:15:09.631,0
61,2022-03-16 16:15:09.646,0
62,2022-03-16 16:15:09.646,0
63,2022-03-16 16:15:09.646,0
64,2022-03-16 16:15:09.646,0
65,2022-03-16 16:15:09.646,0
66,2022-03-16 16:15:09.646,0
67,2022-03-16 16:15:09.646,0
68,2022-03-16 16:15:09.646,0
69,2022-03-16 16:15:09.646,0
70,2022-03-16 16:15:09.646,0
71,2022-03-16 16:15:09.646,0
72,2022-03-16 16:15:09.646,0
73,2022-03-16 16:15:09.646,0
74,2022-03-16 16:15:09.646,0
75,2022-03-16 16:15:09.646,0
76,2022-03-16 16:15:09.646,0
77,2022-03-16 16:15:09.662,0
78,2022-03-16 16:15:09.662,0
79,2022-03-16 16:15:09.662,0
80,2022-03-16 16:15:09.662,0
81,2022-03-16 16:15:09.662,0
82,2022-03-16 16:15:09.662,0
83,2022-03-16 16:15:09.662,0
84,2022-03-16 16:15:09.662,0
85,2022-03-16 16:15:09.662,0
86,2022-03-16 16:15:09.662,0
87,2022-03-16 16:15:09.662,0
88,2022-03-16 16:15:09.662,0
89,2022-03-16 16:15:09.662,0
90,2022-03-16 16:15:09.662,0
91,2022-03-16 16:15:09.662,0
92,2022-03-16 16:15:09.677,0
93,2022-03-16 16:15:09.677,0
94,2022-03-16 16:15:09.677,0
95,2022-03-16 16:15:09.677,0
96,2022-03-16 16:15:09.677,0
97,2022-03-16 16:15:09.677,0
98,2022-03-16 16:15:09.677,0
