id,timestamp,scale_value
0,2022-03-16 14:46:38.424,0
1,2022-03-16 14:46:38.424,0
2,2022-03-16 14:46:38.439,0
3,2022-03-16 14:46:38.439,0
4,2022-03-16 14:46:38.439,0
5,2022-03-16 14:46:38.439,0
6,2022-03-16 14:46:38.439,0
7,2022-03-16 14:46:38.439,0
8,2022-03-16 14:46:38.439,0
9,2022-03-16 14:46:38.439,0
10,2022-03-16 14:46:38.439,0
11,2022-03-16 14:46:38.439,0
12,2022-03-16 14:46:38.439,0
13,2022-03-16 14:46:38.439,0
14,2022-03-16 14:46:38.439,0
15,2022-03-16 14:46:38.439,0
16,2022-03-16 14:46:38.439,0
17,2022-03-16 14:46:38.455,0
18,2022-03-16 14:46:38.455,0
19,2022-03-16 14:46:38.455,0
20,2022-03-16 14:46:38.455,0
21,2022-03-16 14:46:38.455,0
22,2022-03-16 14:46:38.455,0
23,2022-03-16 14:46:38.455,0
24,2022-03-16 14:46:38.455,0
25,2022-03-16 14:46:38.455,0
26,2022-03-16 14:46:38.455,0
27,2022-03-16 14:46:38.455,0
28,2022-03-16 14:46:38.455,0
29,2022-03-16 14:46:38.455,0
30,2022-03-16 14:46:38.47,0
31,2022-03-16 14:46:38.47,0
32,2022-03-16 14:46:38.47,0
33,2022-03-16 14:46:38.47,0
34,2022-03-16 14:46:38.47,0
35,2022-03-16 14:46:38.47,0
36,2022-03-16 14:46:38.47,0
37,2022-03-16 14:46:38.47,0
38,2022-03-16 14:46:38.47,0
39,2022-03-16 14:46:38.486,0
40,2022-03-16 14:46:38.486,0
41,2022-03-16 14:46:38.486,0
42,2022-03-16 14:46:38.486,0
43,2022-03-16 14:46:38.486,0
44,2022-03-16 14:46:38.486,0
45,2022-03-16 14:46:38.486,0
46,2022-03-16 14:46:38.486,0
47,2022-03-16 14:46:38.486,0
48,2022-03-16 14:46:38.486,0
49,2022-03-16 14:46:38.486,0
50,2022-03-16 14:46:38.486,0
51,2022-03-16 14:46:38.486,0
52,2022-03-16 14:46:38.502,0
53,2022-03-16 14:46:38.502,0
54,2022-03-16 14:46:38.502,0
55,2022-03-16 14:46:38.502,0
56,2022-03-16 14:46:38.502,0
57,2022-03-16 14:46:38.502,0
58,2022-03-16 14:46:38.502,0
59,2022-03-16 14:46:38.502,0
60,2022-03-16 14:46:38.502,0
61,2022-03-16 14:46:38.502,0
62,2022-03-16 14:46:38.502,0
63,2022-03-16 14:46:38.517,0
64,2022-03-16 14:46:38.517,0
65,2022-03-16 14:46:38.517,0
66,2022-03-16 14:46:38.517,0
67,2022-03-16 14:46:38.517,0
68,2022-03-16 14:46:38.517,0
69,2022-03-16 14:46:38.517,0
70,2022-03-16 14:46:38.517,0
71,2022-03-16 14:46:38.517,0
72,2022-03-16 14:46:38.517,0
73,2022-03-16 14:46:38.517,0
74,2022-03-16 14:46:38.517,0
75,2022-03-16 14:46:38.533,0
76,2022-03-16 14:46:38.533,0
77,2022-03-16 14:46:38.533,0
78,2022-03-16 14:46:38.533,0
79,2022-03-16 14:46:38.533,0
80,2022-03-16 14:46:38.533,0
81,2022-03-16 14:46:38.533,0
82,2022-03-16 14:46:38.533,0
83,2022-03-16 14:46:38.533,0
84,2022-03-16 14:46:38.533,0
85,2022-03-16 14:46:38.533,0
86,2022-03-16 14:46:38.533,0
87,2022-03-16 14:46:38.533,0
88,2022-03-16 14:46:38.533,0
89,2022-03-16 14:46:38.533,0
90,2022-03-16 14:46:38.549,0
91,2022-03-16 14:46:38.549,0
92,2022-03-16 14:46:38.549,0
93,2022-03-16 14:46:38.549,0
94,2022-03-16 14:46:38.549,0
95,2022-03-16 14:46:38.564,0
96,2022-03-16 14:46:38.564,0
97,2022-03-16 14:46:38.564,0
98,2022-03-16 14:46:38.564,0
99,2022-03-16 14:46:38.564,0
100,2022-03-16 14:46:38.564,0
101,2022-03-16 14:46:38.564,0
102,2022-03-16 14:46:38.564,0
103,2022-03-16 14:46:38.564,0
104,2022-03-16 14:46:38.564,0
105,2022-03-16 14:46:38.564,0
106,2022-03-16 14:46:38.564,0
107,2022-03-16 14:46:38.564,0
108,2022-03-16 14:46:38.564,0
109,2022-03-16 14:46:38.58,0
110,2022-03-16 14:46:38.58,0
111,2022-03-16 14:46:38.58,0
112,2022-03-16 14:46:38.58,0
113,2022-03-16 14:46:38.58,0
114,2022-03-16 14:46:38.58,0
115,2022-03-16 14:46:38.58,0
116,2022-03-16 14:46:38.58,0
117,2022-03-16 14:46:38.58,0
118,2022-03-16 14:46:38.58,0
119,2022-03-16 14:46:38.58,0
120,2022-03-16 14:46:38.58,0
121,2022-03-16 14:46:38.58,0
122,2022-03-16 14:46:38.58,0
123,2022-03-16 14:46:38.58,0
124,2022-03-16 14:46:38.58,0
125,2022-03-16 14:46:38.58,0
126,2022-03-16 14:46:38.58,0
127,2022-03-16 14:46:38.58,0
128,2022-03-16 14:46:38.58,0
129,2022-03-16 14:46:38.58,0
130,2022-03-16 14:46:38.595,0
131,2022-03-16 14:46:38.595,0
132,2022-03-16 14:46:38.595,0
133,2022-03-16 14:46:38.595,0
134,2022-03-16 14:46:38.595,0
135,2022-03-16 14:46:38.595,0
136,2022-03-16 14:46:38.595,0
137,2022-03-16 14:46:38.595,0
