id,timestamp,scale_value
0,2022-03-16 16:00:05.508,0
1,2022-03-16 16:00:05.508,0
2,2022-03-16 16:00:05.508,0
3,2022-03-16 16:00:05.508,0
4,2022-03-16 16:00:05.508,0
5,2022-03-16 16:00:05.508,0
6,2022-03-16 16:00:05.508,0
7,2022-03-16 16:00:05.508,0
8,2022-03-16 16:00:05.508,0
9,2022-03-16 16:00:05.508,0
10,2022-03-16 16:00:05.508,0
11,2022-03-16 16:00:05.508,0
12,2022-03-16 16:00:05.508,0
13,2022-03-16 16:00:05.508,0
14,2022-03-16 16:00:05.508,0
15,2022-03-16 16:00:05.524,0
16,2022-03-16 16:00:05.524,0
17,2022-03-16 16:00:05.524,0
18,2022-03-16 16:00:05.524,0
19,2022-03-16 16:00:05.524,0
20,2022-03-16 16:00:05.524,0
21,2022-03-16 16:00:05.524,0
22,2022-03-16 16:00:05.524,0
23,2022-03-16 16:00:05.524,0
24,2022-03-16 16:00:05.524,0
25,2022-03-16 16:00:05.524,0
26,2022-03-16 16:00:05.524,0
27,2022-03-16 16:00:05.524,0
28,2022-03-16 16:00:05.524,0
29,2022-03-16 16:00:05.524,0
30,2022-03-16 16:00:05.524,0
31,2022-03-16 16:00:05.524,0
32,2022-03-16 16:00:05.539,0
33,2022-03-16 16:00:05.539,0
34,2022-03-16 16:00:05.539,0
35,2022-03-16 16:00:05.539,0
36,2022-03-16 16:00:05.539,0
37,2022-03-16 16:00:05.539,0
38,2022-03-16 16:00:05.539,0
39,2022-03-16 16:00:05.539,0
40,2022-03-16 16:00:05.539,0
41,2022-03-16 16:00:05.539,0
42,2022-03-16 16:00:05.539,0
43,2022-03-16 16:00:05.539,0
44,2022-03-16 16:00:05.539,0
45,2022-03-16 16:00:05.539,0
46,2022-03-16 16:00:05.539,0
47,2022-03-16 16:00:05.539,0
48,2022-03-16 16:00:05.539,0
49,2022-03-16 16:00:05.539,0
50,2022-03-16 16:00:05.539,0
51,2022-03-16 16:00:05.555,0
52,2022-03-16 16:00:05.555,0
53,2022-03-16 16:00:05.555,0
54,2022-03-16 16:00:05.555,0
55,2022-03-16 16:00:05.555,0
56,2022-03-16 16:00:05.555,0
57,2022-03-16 16:00:05.555,0
58,2022-03-16 16:00:05.555,0
59,2022-03-16 16:00:05.555,0
60,2022-03-16 16:00:05.555,0
61,2022-03-16 16:00:05.555,0
62,2022-03-16 16:00:05.555,0
63,2022-03-16 16:00:05.555,0
64,2022-03-16 16:00:05.555,0
65,2022-03-16 16:00:05.555,0
66,2022-03-16 16:00:05.571,0
67,2022-03-16 16:00:05.571,0
68,2022-03-16 16:00:05.571,0
69,2022-03-16 16:00:05.571,0
70,2022-03-16 16:00:05.571,0
71,2022-03-16 16:00:05.571,0
72,2022-03-16 16:00:05.571,0
73,2022-03-16 16:00:05.571,0
74,2022-03-16 16:00:05.571,0
